"generator_index","generator_sample_index","m","n","gen_fn","bic_a1","nknots_a1","p_a1","bic_a2","nknots_a2","p_a2","bic_diff","nknots_diff","p_diffs"
"2","1",2000,250,"Logistic",-386.526584861138,2,0.00055697725827705,-386.526584861138,2,0.000556977258277052,-1.13686837721616e-13,0,-2.60208521396521e-18
"2","1",2000,250,"Logistic",-388.822612811149,2,0.000764863972110127,-420.029686224021,3,0.000190815154264665,31.207073412872,-1,0.000574048817845462
"2","1",2000,250,"Logistic",-393.302089285207,2,0.000714252793609638,-393.302089285207,2,0.000714252793609639,1.13686837721616e-13,0,-6.50521303491303e-19
"2","1",2000,250,"Logistic",-386.63727509271,4,0.000302301937261348,-399.785232408958,3,0.000145733681989104,13.1479573162482,1,0.000156568255272244
"2","1",2000,250,"Logistic",-390.603449687659,4,0.00029559637290174,-408.189075178418,4,0.000116173775132691,17.5856254907594,0,0.000179422597769049
"2","1",2000,250,"Logistic",-391.6254226549,4,0.000701766139107389,-395.365488264086,3,0.000707300558022298,3.74006560918667,1,-5.53441891490945e-06
"2","1",2000,250,"Logistic",-436.886656199586,4,0.000628312230477993,-436.886656199586,4,0.000628312230477994,0,0,-3.25260651745651e-19
"2","1",2000,250,"Logistic",-388.070078693745,2,0.000895205585573797,-401.790051445383,3,0.000233273719581283,13.7199727516376,-1,0.000661931865992515
"2","1",2000,250,"Logistic",-394.27603877138,4,0.00096208415222777,-409.690370367617,4,0.000311057210504481,15.4143315962373,0,0.000651026941723289
"2","1",2000,250,"Logistic",-425.488355377417,2,0.000649965788139659,-434.812302546227,3,0.000231091409563266,9.32394716880998,-1,0.000418874378576392
"2","1",2000,250,"Logistic",-404.921314161177,2,0.00141817297171285,-411.16036424855,4,0.000733943884578064,6.23905008737296,-2,0.000684229087134788
"2","1",2000,250,"Logistic",-400.680907424356,2,0.000573907576316848,-400.680907424356,2,0.000573907576316846,1.13686837721616e-13,0,1.84314369322536e-18
"2","1",2000,250,"Logistic",-388.840021872086,2,0.00130408842353686,-388.840021872086,2,0.00130408842353686,2.27373675443232e-13,0,8.02309607639273e-18
"2","1",2000,250,"Logistic",-376.703880742418,4,0.00133759702866145,-414.920278936082,3,0.000272028588716253,38.2163981936645,1,0.0010655684399452
"2","1",2000,250,"Logistic",-404.330814300855,2,0.00084656412085782,-425.631218879948,3,0.000175194974039788,21.3004045790933,-1,0.000671369146818032
"2","1",2000,250,"Logistic",-405.684716830146,4,0.00137289603356235,-416.441269327692,4,0.000691342294876286,10.756552497546,0,0.000681553738686066
"2","1",2000,250,"Logistic",-405.203736429775,2,0.000569863409315375,-405.203736429775,2,0.000569863409315381,-2.27373675443232e-13,0,-5.63785129692462e-18
"2","1",2000,250,"Logistic",-409.661804832117,4,0.00179575512442217,-416.400083821669,3,0.00131189594260218,6.73827898955176,1,0.000483859181819983
"2","1",2000,250,"Logistic",-415.516731363743,2,0.00071680383962117,-415.516731363743,2,0.00071680383962116,-1.13686837721616e-13,0,9.21571846612679e-18
"2","1",2000,250,"Logistic",-378.802783774205,2,0.00101309863438902,-378.802783774205,2,0.00101309863438902,1.13686837721616e-13,0,3.03576608295941e-18
"2","1",2000,250,"Logistic",-404.890115213968,4,0.00117273600160868,-447.678419270518,3,0.000410595120920963,42.7883040565493,1,0.000762140880687721
"2","1",2000,250,"Logistic",-443.199530159034,4,0.000602122143122387,-457.540925584244,3,0.000436015711859757,14.3413954252106,1,0.000166106431262629
"2","1",2000,250,"Logistic",-398.064978576156,4,0.00077870000004609,-399.54407746265,3,0.000978620664080185,1.47909888649417,1,-0.000199920664034095
"2","1",2000,250,"Logistic",-381.01091167204,4,0.000545111379268208,-395.273880270053,4,0.000281915717034807,14.2629685980128,0,0.000263195662233401
"2","1",2000,250,"Logistic",-405.610266384141,4,0.00133445576333471,-421.610314610696,3,0.000695728873922562,16.0000482265549,1,0.000638726889412146
"2","1",2000,250,"Logistic",-373.348627795713,4,0.000869915674454676,-387.646085502863,3,0.000478556456295616,14.2974577071497,1,0.00039135921815906
"2","1",2000,250,"Logistic",-426.698657696294,4,0.000529015683473255,-438.016362931192,3,0.000296536318905213,11.3177052348981,1,0.000232479364568043
"2","1",2000,250,"Logistic",-383.142058982989,4,0.00056858957262287,-394.44741796996,3,0.000268387643895456,11.3053589869704,1,0.000300201928727414
"2","1",2000,250,"Logistic",-394.390608936583,4,0.000922448562258749,-405.953940440334,3,0.000719180606735782,11.5633315037507,1,0.000203267955522967
"2","1",2000,250,"Logistic",-391.635405529465,2,0.000861795861412777,-391.635405529464,2,0.000861795861412789,-2.27373675443232e-13,0,-1.20346441145891e-17
"2","1",2000,250,"Logistic",-395.941059589042,2,0.000869352288308979,-395.941059589042,2,0.000869352288308975,0,0,3.79470760369927e-18
"2","1",2000,250,"Logistic",-396.929466681258,4,0.000982087785068195,-426.060356456069,3,0.000193885536779364,29.1308897748107,1,0.000788202248288831
"2","1",2000,250,"Logistic",-338.425914015589,4,0.00262731582384308,-390.923597321985,3,0.000557345534434302,52.4976833063954,1,0.00206997028940878
"2","1",2000,250,"Logistic",-431.323030434141,2,0.00105092276734156,-431.323030434141,2,0.00105092276734155,1.13686837721616e-13,0,1.2793585635329e-17
"2","1",2000,250,"Logistic",-419.111354765718,4,0.000737643589232354,-435.310590486325,3,0.000411946793374279,16.1992357206071,1,0.000325696795858075
"2","1",2000,250,"Logistic",-390.392984029566,4,0.000835991057717913,-413.280605142801,3,0.000384874270473519,22.887621113235,1,0.000451116787244394
"2","1",2000,250,"Logistic",-400.872704644656,4,0.00109283174170095,-423.47930112944,4,0.000706012411174567,22.6065964847839,0,0.000386819330526386
"2","1",2000,250,"Logistic",-413.206049728587,4,0.0011090515547765,-432.61571539708,4,0.000287289567263711,19.409665668493,0,0.000821761987512789
"2","1",2000,250,"Logistic",-375.034026156279,2,0.000800651754072683,-375.034026156279,2,0.000800651754072687,-1.13686837721616e-13,0,-4.55364912443912e-18
"2","1",2000,250,"Logistic",-409.467722301237,4,0.000818857339452398,-409.467722301236,4,0.000818857339452413,-2.27373675443232e-13,0,-1.48535697630514e-17
"2","1",2000,250,"Logistic",-361.908676818344,4,0.00138718419996816,-388.063443353529,4,0.000398972242209637,26.1547665351848,0,0.000988211957758525
"2","1",2000,250,"Logistic",-392.372123381572,4,0.00103296684605269,-413.837312504286,3,0.000660232755480732,21.465189122714,1,0.000372734090571954
"2","1",2000,250,"Logistic",-401.855035555675,4,0.000841059128069963,-415.724758689123,3,0.000421295610576977,13.8697231334477,1,0.000419763517492986
"2","1",2000,250,"Logistic",-379.863130370493,4,0.000505520152502603,-389.466751616135,3,0.000255391906600753,9.60362124564227,1,0.00025012824590185
"2","1",2000,250,"Logistic",-426.361494449347,4,0.000737847662930503,-448.007438597302,4,0.000392410064157936,21.6459441479558,0,0.000345437598772567
"2","1",2000,250,"Logistic",-449.006459207408,4,0.000548428231194769,-449.006459207408,4,0.000548428231194759,0,0,9.43255890062389e-18
"2","1",2000,250,"Logistic",-392.202401445919,4,0.000720611706220383,-407.007423344412,4,0.000510145607676461,14.805021898493,0,0.000210466098543923
"2","1",2000,250,"Logistic",-364.132442288333,4,0.000920685080036521,-371.822961972419,3,0.000669134553158613,7.69051968408667,1,0.000251550526877909
"2","1",2000,250,"Logistic",-411.872406487635,4,0.000258707232233246,-425.949354963596,3,0.000245210506004153,14.0769484759608,1,1.34967262290937e-05
"2","1",2000,250,"Logistic",-406.362131328125,4,0.000506523119708825,-406.362131328125,4,0.000506523119708824,1.13686837721616e-13,0,1.30104260698261e-18
"2","1",2000,250,"Logistic",-387.710664224035,3,0.000575767583174022,-393.172458385932,2,0.000609281526910188,5.46179416189739,1,-3.35139437361666e-05
"2","1",2000,250,"Logistic",-427.081428332359,4,0.0012430180258711,-467.385441008305,3,0.000638061672867995,40.3040126759459,1,0.000604956353003107
"2","1",2000,250,"Logistic",-428.190874874695,4,0.000521891975317594,-428.679438017482,3,0.000724695318546724,0.488563142786518,1,-0.000202803343229131
"2","1",2000,250,"Logistic",-373.737443904899,4,0.000617129144594138,-393.10776573706,3,0.000187926303757841,19.3703218321611,1,0.000429202840836297
"2","1",2000,250,"Logistic",-382.349317943,4,0.000930195358810483,-398.008164043767,3,0.00057526742139741,15.6588461007667,1,0.000354927937413073
"2","1",2000,250,"Logistic",-422.053237865467,2,0.00149759085480853,-429.706863010183,4,0.000736907363618127,7.65362514471559,-2,0.000760683491190405
"2","1",2000,250,"Logistic",-420.329719358588,3,0.000371671356738353,-425.550919878389,2,0.000327475736842938,5.2212005198009,1,4.41956198954152e-05
"2","1",2000,250,"Logistic",-382.337054378601,4,0.000546989765305232,-393.645018894099,3,0.000444747727381257,11.307964515498,1,0.000102242037923975
"2","1",2000,250,"Logistic",-395.918821381173,4,0.00123355640728333,-428.064877149077,3,0.000321258691501352,32.1460557679039,1,0.000912297715781981
"2","1",2000,250,"Logistic",-382.127917038215,4,0.000867262894783963,-391.896371984085,4,0.000367386346180295,9.76845494587008,0,0.000499876548603669
"2","1",2000,250,"Logistic",-364.359822482193,4,0.000461977831270476,-368.29056467887,3,0.000531635244350386,3.93074219667665,1,-6.96574130799102e-05
"2","1",2000,250,"Logistic",-416.489851122927,4,0.000583262267699424,-429.520771742195,4,0.000448701162818708,13.0309206192674,0,0.000134561104880716
"2","1",2000,250,"Logistic",-373.621422131923,4,0.00143921776177832,-392.173628047025,3,0.000469615023082703,18.5522059151014,1,0.000969602738695613
"2","1",2000,250,"Logistic",-412.487874931263,4,0.000634998689970343,-423.924139214193,3,0.000381086589329008,11.4362642829305,1,0.000253912100641335
"2","1",2000,250,"Logistic",-388.408372877034,4,0.00126941035771655,-406.999915662435,3,0.000600388584246834,18.5915427854011,1,0.000669021773469718
"2","1",2000,250,"Logistic",-411.456660592283,4,0.000645124919218055,-424.278299963448,3,0.000247977130422666,12.8216393711652,1,0.000397147788795389
"2","1",2000,250,"Logistic",-365.886703061518,2,0.000896998752727318,-365.886703061518,2,0.000896998752727311,2.27373675443232e-13,0,7.15573433840433e-18
"2","1",2000,250,"Logistic",-364.551866692832,4,0.00180882500259483,-408.383552004103,3,0.000357728360666062,43.8316853112714,1,0.00145109664192877
"2","1",2000,250,"Logistic",-402.094022144847,4,0.00116989047225336,-407.705152032459,4,0.000677791839871999,5.61112988761158,0,0.000492098632381357
"2","1",2000,250,"Logistic",-379.89466313192,4,0.000785923362272459,-401.316456059944,3,0.000142035489457913,21.4217929280232,1,0.000643887872814546
"2","1",2000,250,"Logistic",-388.681560474367,2,0.000717417703133258,-398.3481973494,3,0.000401277055264818,9.66663687503291,-1,0.00031614064786844
"2","1",2000,250,"Logistic",-434.31615014931,4,0.000697443331445546,-448.132776758429,3,0.000528747263341283,13.8166266091191,1,0.000168696068104263
"2","1",2000,250,"Logistic",-372.910903305717,4,0.000491984558063156,-384.818193093372,3,0.00024989480250544,11.907289787655,1,0.000242089755557716
"2","1",2000,250,"Logistic",-413.364881016928,4,0.000753665482100568,-424.687839681654,4,0.000585986627193878,11.3229586647262,0,0.00016767885490669
"3","1",2000,250,"Runge",-392.461266449632,2,0.000706041256309605,-392.461266449632,2,0.000706041256309608,-1.13686837721616e-13,0,-3.14418630020796e-18
"3","1",2000,250,"Runge",-359.786947892108,4,0.00223439994016245,-394.489806453996,3,0.000854832055211922,34.7028585618871,1,0.00137956788495053
"3","1",2000,250,"Runge",-403.467670608864,4,0.00193076344447379,-436.926358348597,4,0.000832102258173129,33.4586877397338,0,0.00109866118630066
"3","1",2000,250,"Runge",-378.127056728665,4,0.00335335977377563,-421.621247975414,3,0.00119228184984682,43.4941912467489,1,0.0021610779239288
"3","1",2000,250,"Runge",-402.837388042517,2,0.00075072929379132,-402.837388042517,2,0.00075072929379132,0,0,-6.50521303491303e-19
"3","1",2000,250,"Runge",-418.360363898888,2,0.000778534639269788,-418.360363898887,2,0.000778534639269791,-1.13686837721616e-13,0,-2.05998412772246e-18
"3","1",2000,250,"Runge",-393.612539470186,2,0.000824825493716302,-393.612539470186,2,0.000824825493716297,0,0,5.42101086242752e-18
"3","1",2000,250,"Runge",-387.780414019047,2,0.000854281507684018,-387.780414019047,2,0.000854281507684016,1.13686837721616e-13,0,1.40946282423116e-18
"3","1",2000,250,"Runge",-360.577984215725,4,0.00234743121399721,-385.737170203643,3,0.001512240880342,25.1591859879174,1,0.00083519033365521
"3","1",2000,250,"Runge",-344.920227176195,4,0.00357695984181171,-432.962309457155,3,0.000498668105666449,88.0420822809598,1,0.00307829173614527
"3","1",2000,250,"Runge",-437.538405154534,2,0.000524400707915659,-437.538405154534,2,0.000524400707915648,-5.6843418860808e-14,0,1.10588621593521e-17
"3","1",2000,250,"Runge",-380.498452473383,4,0.00290356043157479,-426.711377296998,3,0.000963332281895067,46.2129248236154,1,0.00194022814967973
"3","1",2000,250,"Runge",-378.225688796039,2,0.00182767772625255,-406.301437030718,3,0.000514036820342339,28.0757482346792,-1,0.00131364090591021
"3","1",2000,250,"Runge",-407.288815680822,4,0.00137050539126711,-418.052543451064,3,0.0011851380288835,10.7637277702421,1,0.000185367362383605
"3","1",2000,250,"Runge",-367.875891577343,4,0.00261050380103395,-413.895448675868,3,0.000505858181724304,46.0195570985255,1,0.00210464561930965
"3","1",2000,250,"Runge",-380.475550676165,4,0.00174266154828024,-420.350722256704,3,0.000468786479995636,39.8751715805398,1,0.0012738750682846
"3","1",2000,250,"Runge",-406.935859534451,2,0.000442587166856251,-406.935859534451,2,0.000442587166856251,0,0,0
"3","1",2000,250,"Runge",-364.140601437402,2,0.000776733530073937,-364.140601437402,2,0.000776733530073936,0,0,1.19262238973405e-18
"3","1",2000,250,"Runge",-419.388112872084,4,0.00256647551170657,-442.318610069353,4,0.00126065123234282,22.9304971972692,0,0.00130582427936375
"3","1",2000,250,"Runge",-373.067307281287,2,0.00169466442223694,-386.646739563161,3,0.000618192990911292,13.5794322818741,-1,0.00107647143132565
"3","1",2000,250,"Runge",-375.897894219094,2,0.00211438311988742,-404.040314951091,3,0.000722382752729589,28.1424207319968,-1,0.00139200036715783
"3","1",2000,250,"Runge",-369.686937384819,4,0.00137575585552818,-399.511635664363,3,0.000634151146938239,29.8246982795442,1,0.00074160470858994
"3","1",2000,250,"Runge",-349.505930413735,4,0.0039353921733935,-415.901509534212,3,0.00150153710638533,66.3955791204777,1,0.00243385506700817
"3","1",2000,250,"Runge",-355.22777917185,4,0.00283580716711711,-393.628618120013,3,0.00135267233406974,38.4008389481633,1,0.00148313483304737
"3","1",2000,250,"Runge",-388.349711733255,4,0.00233161345280116,-434.963570171748,3,0.000816142414557519,46.6138584384929,1,0.00151547103824364
"3","1",2000,250,"Runge",-419.278633415357,2,0.00123515252092746,-419.278633415357,2,0.00123515252092746,0,0,4.33680868994202e-19
"3","1",2000,250,"Runge",-337.372011305139,4,0.00238037387615067,-385.631298813682,3,0.000743973395156059,48.2592875085426,1,0.00163640048099461
"3","1",2000,250,"Runge",-415.862618097597,2,0.00156505618504188,-415.862618097597,2,0.00156505618504187,0,0,2.38524477946811e-18
"3","1",2000,250,"Runge",-334.785347514341,4,0.00327823482571028,-401.99190262734,3,0.000737889029874959,67.2065551129985,1,0.00254034579583532
"3","1",2000,250,"Runge",-365.607236383736,4,0.0027370284906547,-405.272834164181,3,0.00133921638295067,39.6655977804451,1,0.00139781210770402
"3","1",2000,250,"Runge",-357.129295677284,4,0.0017035245361434,-385.355179459164,4,0.00115354469256082,28.2258837818802,0,0.000549979843582579
"3","1",2000,250,"Runge",-402.493477579574,2,0.00130957524475099,-402.493477579574,2,0.00130957524475099,0,0,-3.03576608295941e-18
"3","1",2000,250,"Runge",-374.716443942616,4,0.00168191553589079,-440.3814173948,3,0.000328353452055633,65.6649734521844,1,0.00135356208383516
"3","1",2000,250,"Runge",-369.409865503524,2,0.000961562446257655,-369.409865503524,2,0.000961562446257655,1.13686837721616e-13,0,5.42101086242752e-19
"3","1",2000,250,"Runge",-329.466195919435,4,0.00191737519309243,-370.047187615184,3,0.000394299071504421,40.5809916957485,1,0.001523076121588
"3","1",2000,250,"Runge",-369.668311167691,2,0.00275860325909715,-409.729417005097,3,0.000584776385487157,40.0611058374058,-1,0.00217382687360999
"3","1",2000,250,"Runge",-387.727431503539,4,0.00177893752166248,-426.612910768272,3,0.000528523330813518,38.8854792647329,1,0.00125041419084896
"3","1",2000,250,"Runge",-379.487758851724,4,0.00201385798785836,-414.042392403312,3,0.000688909338386675,34.554633551588,1,0.00132494864947169
"3","1",2000,250,"Runge",-413.178967956167,2,0.000458109774957566,-413.178967956167,2,0.000458109774957574,-2.27373675443232e-13,0,-8.23993651088983e-18
"3","1",2000,250,"Runge",-399.380777419347,4,0.00200740112561596,-423.455419751401,3,0.00110700622614844,24.0746423320538,1,0.000900394899467518
"3","1",2000,250,"Runge",-397.362100564592,2,0.000683124870826269,-397.362100564592,2,0.000683124870826268,-1.13686837721616e-13,0,9.75781955236954e-19
"3","1",2000,250,"Runge",-386.722921058544,2,0.000510992244001513,-386.722921058543,2,0.00051099224400152,-1.13686837721616e-13,0,-6.17995238316738e-18
"3","1",2000,250,"Runge",-378.085363033504,2,0.00211888086151555,-378.085363033504,2,0.00211888086151555,0,0,-5.20417042793042e-18
"3","1",2000,250,"Runge",-413.558461492317,4,0.000732346453080842,-424.665895113406,3,0.000542336700262421,11.1074336210893,1,0.000190009752818421
"3","1",2000,250,"Runge",-358.539778426882,4,0.00244895482632489,-402.302006944188,3,0.000521689897235036,43.762228517306,1,0.00192726492908986
"3","1",2000,250,"Runge",-419.601069089239,4,0.00164044440426415,-430.487758682556,3,0.0012543488843062,10.8866895933176,1,0.000386095519957949
"3","1",2000,250,"Runge",-363.157637171328,2,0.000409603818012252,-363.157637171328,2,0.000409603818012253,0,0,-6.50521303491303e-19
"3","1",2000,250,"Runge",-353.104850508298,4,0.00248400050420813,-390.652785994435,3,0.000726562133566829,37.5479354861372,1,0.0017574383706413
"3","1",2000,250,"Runge",-398.375295223821,4,0.00197513656653145,-424.856928135347,3,0.000884478892646939,26.4816329115266,1,0.00109065767388451
"3","1",2000,250,"Runge",-382.049606251539,4,0.00198034715061498,-418.823203478475,3,0.000474950935774159,36.7735972269359,1,0.00150539621484082
"3","1",2000,250,"Runge",-401.034393584944,2,0.000426385186002685,-427.571750291396,3,0.000756413704642615,26.537356706452,-1,-0.00033002851863993
"3","1",2000,250,"Runge",-378.027983797382,4,0.00185562865351542,-419.496862274504,3,0.000794136269136614,41.4688784771229,1,0.0010614923843788
"3","1",2000,250,"Runge",-412.644113020598,2,0.00145494568044715,-452.227197577455,3,0.000247571045362933,39.5830845568565,-1,0.00120737463508422
"3","1",2000,250,"Runge",-391.610016785033,2,0.00146039071733662,-391.610016785033,2,0.00146039071733662,1.13686837721616e-13,0,-2.16840434497101e-18
"3","1",2000,250,"Runge",-359.92950946614,4,0.00167487086197393,-362.113488934561,3,0.00176634374906077,2.183979468421,1,-9.14728870868343e-05
"3","1",2000,250,"Runge",-404.517599651165,2,0.000632580337366526,-404.517599651165,2,0.000632580337366522,-1.13686837721616e-13,0,4.01154803819637e-18
"3","1",2000,250,"Runge",-401.479047762215,2,0.000785850555469326,-401.479047762215,2,0.000785850555469329,0,0,-3.46944695195361e-18
"3","1",2000,250,"Runge",-354.089967464622,4,0.00263317568629158,-419.969777220898,3,0.000558849129769546,65.8798097562765,1,0.00207432655652203
"3","1",2000,250,"Runge",-366.337000392572,2,0.00380021840774799,-413.011669970223,4,0.00114105068720331,46.6746695776509,-2,0.00265916772054469
"3","1",2000,250,"Runge",-381.054623921585,2,0.000726799931041116,-399.238822912677,3,0.000420184789902496,18.1841989910918,-1,0.00030661514113862
"3","1",2000,250,"Runge",-368.577786592244,4,0.00176050471219344,-411.634428828718,3,0.00042438615265314,43.056642236474,1,0.0013361185595403
"3","1",2000,250,"Runge",-365.703196509331,4,0.00319012857297618,-409.378594690952,3,0.00125221096040185,43.6753981816211,1,0.00193791761257433
"3","1",2000,250,"Runge",-393.568723123829,4,0.00239182144863197,-447.281728186378,4,0.00102448944978301,53.713005062549,0,0.00136733199884896
